Samples	Cluster
GSM1523727	C1
GSM1523728	C1
GSM1523729	C1
GSM1523744	C1
GSM1523745	C2
GSM1523746	C2
GSM1523747	C1
GSM1523748	C2
GSM1523765	C1
GSM1523768	C2
GSM1523769	C2
GSM1523770	C1
GSM1523771	C2
GSM1523772	C2
GSM1523773	C2
GSM1523774	C2
GSM1523775	C2
GSM1523776	C1
GSM1523777	C1
GSM1523778	C2
GSM1523779	C1
GSM1523780	C1
GSM1523781	C1
GSM1523782	C1
GSM1523783	C2
GSM1523784	C2
GSM1523785	C1
GSM1523786	C2
GSM1523787	C1
GSM1523788	C2
GSM1523789	C2
GSM1523790	C1
GSM1523791	C1
GSM1523792	C1
GSM1523793	C1
GSM1523794	C1
GSM1523795	C1
GSM1523796	C2
GSM1523797	C2
GSM1523798	C2
GSM1523799	C1
GSM1523800	C1
GSM1523801	C1
GSM1523802	C1
GSM1523803	C1
GSM1523804	C2
GSM1523805	C2
GSM1523806	C1
GSM1523807	C1
GSM1523808	C2
GSM1523809	C1
GSM1523810	C1
GSM1523811	C2
GSM1523812	C2
GSM1523813	C1
GSM1523814	C1
GSM1523815	C1
GSM1523816	C1
GSM1523817	C1
GSM1523818	C1
GSM1523819	C1
GSM1523820	C1
GSM1523821	C1
GSM1523822	C2
GSM1523823	C1
GSM1523824	C1
GSM1523825	C1
GSM1523826	C2
GSM1523827	C2
GSM1523828	C2
GSM1523829	C1
GSM1523830	C1
GSM1523831	C1
GSM1523832	C2
GSM1523833	C1
GSM1523834	C2
GSM1523835	C2
GSM1523836	C2
GSM1523837	C1
GSM1523838	C1
GSM1523839	C2
GSM1523840	C1
GSM1523841	C2
GSM1523842	C1
GSM1523843	C2
GSM1523844	C2
GSM1523845	C2
GSM1523846	C2
GSM1523847	C1
GSM1523848	C2
GSM1523849	C2
GSM1523850	C2
GSM1523851	C1
GSM1523852	C2
GSM1523853	C1
GSM1523854	C2
GSM1523855	C1
GSM1523856	C2
GSM1523857	C2
GSM1523858	C2
GSM1523859	C1
GSM1523860	C1
GSM1523861	C1
GSM1523862	C2
GSM1523863	C1
GSM1523864	C1
GSM1523865	C1
GSM1523866	C2
GSM1523867	C1
GSM1523868	C2
GSM1523869	C1
GSM1523870	C1
GSM1523871	C1
GSM1523872	C2
GSM1523873	C2
GSM1523874	C2
GSM1523875	C1
GSM1523876	C1
GSM1523877	C1
GSM1523878	C2
GSM1523879	C1
GSM1523880	C1
GSM1523881	C1
GSM1523882	C1
GSM1523883	C1
GSM1523884	C2
GSM1523885	C1
GSM1523886	C2
GSM1523887	C1
GSM1523888	C1
GSM1523889	C1
GSM1523890	C2
GSM1523891	C2
GSM1523892	C2
GSM1523893	C1
GSM1523894	C1
GSM1523895	C1
GSM1523896	C2
GSM1523897	C1
GSM1523898	C1
GSM1523899	C1
GSM1523901	C1
GSM1523903	C1
GSM1523904	C2
GSM1523905	C1
GSM1523906	C2
GSM1523908	C1
GSM1523909	C1
GSM1523910	C1
GSM1523911	C1
GSM1523918	C2
GSM1523919	C1
GSM1523920	C2
GSM1523921	C1
GSM1523922	C1
GSM1523923	C1
GSM1523924	C2
GSM1523925	C1
GSM1523926	C1
GSM1523927	C1
GSM1523928	C1
GSM1523929	C1
GSM1523930	C2
GSM1523931	C2
GSM1523932	C1
GSM1523933	C1
GSM1523934	C1
GSM1523935	C2
GSM1523936	C2
GSM1523937	C1
GSM1523938	C2
GSM1523939	C2
GSM1523940	C1
GSM1523941	C1
GSM1523942	C1
GSM1523943	C1
GSM1523944	C1
