Tag	logFC	AveExpr	t	P.Value	adj.P.Val	B
MTHFD1L	2.107	3.899	15.818	0	0	88.507
NFE2L3	2.705	5.116	15.445	0	0	84.988
ECT2	2.799	5.269	14.664	0	0	77.672
SOX9	2.916	7.057	14.551	0	0	76.618
RCC2	1.977	6.73	14.544	0	0	76.555
MARCKSL1	2.328	8.6	14.323	0	0	74.505
CEP55	2.597	4.549	14.268	0	0	73.999
CLSPN	2.149	2.893	14.221	0	0	73.568
TPX2	3.026	5.865	14.206	0	0	73.426
KNOP1	1.333	3.259	14.19	0	0	73.284
IQGAP3	2.65	4.423	14.125	0	0	72.678
DKC1	1.748	5.48	14.097	0	0	72.426
ZWILCH	1.776	3.761	14.01	0	0	71.625
CBX3	1.465	6.305	13.911	0	0	70.718
CDK1	2.54	4.708	13.814	0	0	69.833
MKI67	2.807	5.269	13.777	0	0	69.493
NOP2	1.625	4.756	13.704	0	0	68.826
ANLN	2.491	4.578	13.699	0	0	68.781
ENC1	2.554	5.532	13.647	0	0	68.308
KIF18B	2.526	3.724	13.623	0	0	68.09
RUNX1	1.992	4.244	13.598	0	0	67.859
OSBPL3	1.83	4.137	13.576	0	0	67.658
TEAD4	1.919	4.724	13.573	0	0	67.632
UBE2T	2.34	5.466	13.441	0	0	66.437
HELLS	1.956	2.993	13.42	0	0	66.245
NOP58	1.482	6.105	13.381	0	0	65.897
MYOC	-4.016	1.425	-13.342	0	0	65.541
KIF11	2.241	4.486	13.329	0	0	65.422
RAD51AP1	2.17	3.684	13.324	0	0	65.377
E2F3	1.627	3.622	13.311	0	0	65.26
KIF23	2.243	3.438	13.285	0	0	65.029
SOX4	2.32	6.138	13.276	0	0	64.945
GPATCH4	1.429	4.748	13.268	0	0	64.876
UTP18	1.305	4.73	13.204	0	0	64.295
DTL	2.202	3.519	13.186	0	0	64.138
TOP2A	3.046	5.822	13.186	0	0	64.135
STIL	2.219	3.291	13.142	0	0	63.737
MYBL2	3.103	6.051	13.137	0	0	63.697
ADPGK	1.311	4.383	13.133	0	0	63.661
ATAD2	2.214	4.345	13.119	0	0	63.532
BUB1	2.408	3.862	13.109	0	0	63.442
UBE2C	3.063	6.652	13.098	0	0	63.35
NUSAP1	2.324	5.29	13.093	0	0	63.298
TROAP	2.341	3.787	13.087	0	0	63.243
WDR89	1.047	3.33	13.07	0	0	63.092
DBF4	1.819	3.617	13.046	0	0	62.884
ARHGAP11A	2.208	3.766	13.015	0	0	62.606
CENPF	2.613	4.036	13.015	0	0	62.606
WDR43	1.401	5.087	13.012	0	0	62.572
