Samples	Cluster
TCGA-3M-AB46-01	C1
TCGA-B7-5818-01	C1
TCGA-B7-A5TI-01	C2
TCGA-B7-A5TJ-01	C1
TCGA-B7-A5TK-01	C2
TCGA-B7-A5TN-01	C1
TCGA-BR-4187-01	C2
TCGA-BR-4191-01	C2
TCGA-BR-4201-01	C2
TCGA-BR-4253-01	C1
TCGA-BR-4256-01	C2
TCGA-BR-4257-01	C2
TCGA-BR-4267-01	C1
TCGA-BR-4279-01	C2
TCGA-BR-4280-01	C1
TCGA-BR-6452-01	C1
TCGA-BR-6453-01	C2
TCGA-BR-6455-01	C1
TCGA-BR-6456-01	C2
TCGA-BR-6457-01	C2
TCGA-BR-6458-01	C2
TCGA-BR-6563-01	C2
TCGA-BR-6564-01	C2
TCGA-BR-6565-01	C1
TCGA-BR-6566-01	C1
TCGA-BR-6705-01	C2
TCGA-BR-6707-01	C1
TCGA-BR-6709-01	C2
TCGA-BR-6710-01	C2
TCGA-BR-6801-01	C1
TCGA-BR-6802-01	C1
TCGA-BR-6803-01	C2
TCGA-BR-6852-01	C1
TCGA-BR-7196-01	C2
TCGA-BR-7197-01	C1
TCGA-BR-7704-01	C1
TCGA-BR-7707-01	C1
TCGA-BR-7715-01	C1
TCGA-BR-7716-01	C1
TCGA-BR-7717-01	C1
TCGA-BR-7722-01	C2
TCGA-BR-7723-01	C2
TCGA-BR-7851-01	C1
TCGA-BR-7901-01	C2
TCGA-BR-7957-01	C2
TCGA-BR-7958-01	C1
TCGA-BR-7959-01	C2
TCGA-BR-8058-01	C2
TCGA-BR-8059-01	C2
TCGA-BR-8060-01	C2
TCGA-BR-8077-01	C1
TCGA-BR-8080-01	C2
TCGA-BR-8081-01	C2
TCGA-BR-8284-01	C2
TCGA-BR-8286-01	C1
TCGA-BR-8289-01	C2
TCGA-BR-8291-01	C2
TCGA-BR-8295-01	C2
TCGA-BR-8296-01	C1
TCGA-BR-8297-01	C2
TCGA-BR-8361-01	C1
TCGA-BR-8364-01	C2
TCGA-BR-8365-01	C2
TCGA-BR-8366-01	C2
TCGA-BR-8367-01	C2
TCGA-BR-8368-01	C1
TCGA-BR-8369-01	C2
TCGA-BR-8371-01	C2
TCGA-BR-8372-01	C2
TCGA-BR-8373-01	C1
TCGA-BR-8380-01	C2
TCGA-BR-8381-01	C1
TCGA-BR-8382-01	C1
TCGA-BR-8384-01	C2
TCGA-BR-8483-01	C1
TCGA-BR-8484-01	C1
TCGA-BR-8485-01	C2
TCGA-BR-8487-01	C1
TCGA-BR-8588-01	C2
TCGA-BR-8589-01	C1
TCGA-BR-8590-01	C2
TCGA-BR-8591-01	C1
TCGA-BR-8592-01	C2
TCGA-BR-8676-01	C1
TCGA-BR-8677-01	C2
TCGA-BR-8678-01	C1
TCGA-BR-8680-01	C1
TCGA-BR-8682-01	C2
TCGA-BR-8683-01	C2
TCGA-BR-8686-01	C2
TCGA-BR-8687-01	C1
TCGA-BR-8690-01	C2
TCGA-BR-A44T-01	C2
TCGA-BR-A44U-01	C1
TCGA-BR-A4CS-01	C1
TCGA-BR-A4IV-01	C2
TCGA-BR-A4J4-01	C1
TCGA-BR-A4J5-01	C2
TCGA-BR-A4J6-01	C1
