Tag	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-3M-AB46-01	1079.809	1766.372	2846.181
TCGA-B7-5818-01	1508.634	4573.01	6081.644
TCGA-B7-A5TI-01	2350.083	2861.946	5212.029
TCGA-B7-A5TJ-01	736.9821	1748.8003	2485.7823
TCGA-B7-A5TK-01	3451.441	5707.906	9159.347
TCGA-B7-A5TN-01	2545.155	2616.991	5162.147
TCGA-BR-4187-01	5151.978	5353.18	10505.159
TCGA-BR-4191-01	3464.545	5593.921	9058.466
TCGA-BR-4201-01	4148.881	4711.427	8860.308
TCGA-BR-4253-01	2576.129	6430.209	9006.339
TCGA-BR-4256-01	4579.528	5891.569	10471.097
TCGA-BR-4257-01	3181.752	4633.683	7815.435
TCGA-BR-4267-01	1498.337	3277.449	4775.786
TCGA-BR-4279-01	5109.119	5282.539	10391.658
TCGA-BR-4280-01	900.5719	3746.774	4647.3458
TCGA-BR-6452-01	1938.857	3866.117	5804.974
TCGA-BR-6453-01	3313.194	6074.338	9387.532
TCGA-BR-6455-01	2128.192	4044.836	6173.028
TCGA-BR-6456-01	3586.638	3770.162	7356.8
TCGA-BR-6457-01	4135.284	4370.797	8506.081
TCGA-BR-6458-01	3181.071	4640.502	7821.573
TCGA-BR-6563-01	4262.415	5731.358	9993.773
TCGA-BR-6564-01	3745.194	4003.687	7748.88
TCGA-BR-6565-01	2593.304	4193.063	6786.367
TCGA-BR-6566-01	2745.528	4419.255	7164.783
TCGA-BR-6705-01	4298.96	3759.508	8058.468
TCGA-BR-6707-01	1884.479	4754.303	6638.783
TCGA-BR-6709-01	3516.126	5921.901	9438.028
TCGA-BR-6710-01	998.6049	2589.2745	3587.8794
TCGA-BR-6801-01	1902.548	2081.807	3984.354
TCGA-BR-6802-01	1793.434	4581.274	6374.708
TCGA-BR-6803-01	3607.895	4391.045	7998.94
TCGA-BR-6852-01	2950.649	5606.161	8556.81
TCGA-BR-7196-01	3921.975	4811.633	8733.608
TCGA-BR-7197-01	903.8184	1054.7519	1958.5702
TCGA-BR-7704-01	1823.234	5084.565	6907.798
TCGA-BR-7707-01	1343.261	3346.793	4690.053
TCGA-BR-7715-01	2141.263	1740.013	3881.276
TCGA-BR-7716-01	2234.972	4751.576	6986.548
TCGA-BR-7717-01	1915.45	2711.505	4626.955
TCGA-BR-7722-01	1745.243	3096.184	4841.426
TCGA-BR-7723-01	1809.05	3256.464	5065.514
TCGA-BR-7851-01	2196.574	3480.286	5676.86
TCGA-BR-7901-01	3254.962	3834.619	7089.581
TCGA-BR-7957-01	3891.758	2978.027	6869.785
TCGA-BR-7958-01	3043.049	5808.639	8851.688
TCGA-BR-7959-01	3556.963	2965.896	6522.859
TCGA-BR-8058-01	3913.78	5659.96	9573.74
TCGA-BR-8059-01	2737.406	2121.692	4859.098
TCGA-BR-8060-01	3080.112	3800.884	6880.996
TCGA-BR-8077-01	1867.029	4328.701	6195.73
TCGA-BR-8080-01	4059.829	4715.634	8775.463
TCGA-BR-8081-01	3489.793	5495.008	8984.801
TCGA-BR-8284-01	3393.024	5047.743	8440.767
TCGA-BR-8286-01	2182.778	3322.475	5505.253
TCGA-BR-8289-01	2077.711	2240.498	4318.209
TCGA-BR-8291-01	4480.388	4816.496	9296.884
TCGA-BR-8295-01	-697.8686	-407.362	-1105.2306
TCGA-BR-8296-01	1917.292	4850.031	6767.323
TCGA-BR-8297-01	2595.754	2792.852	5388.606
TCGA-BR-8361-01	902.3026	3540.6441	4442.9467
TCGA-BR-8364-01	4358.56	4318.081	8676.641
TCGA-BR-8365-01	3921.596	3995.921	7917.517
TCGA-BR-8366-01	3730.48	5991.429	9721.909
TCGA-BR-8367-01	2982.745	2812.542	5795.287
TCGA-BR-8368-01	63.08692	2744.36248	2807.44941
TCGA-BR-8369-01	1688.611	1887.983	3576.594
TCGA-BR-8371-01	2536.006	3897.239	6433.245
TCGA-BR-8372-01	1673.032	4746.563	6419.594
TCGA-BR-8373-01	2405.977	2396.959	4802.936
TCGA-BR-8380-01	3133.464	2813.897	5947.361
TCGA-BR-8381-01	3355.882	5521.707	8877.589
TCGA-BR-8382-01	2545.625	4095.191	6640.817
TCGA-BR-8384-01	4030.28	4190.367	8220.647
TCGA-BR-8483-01	284.5455	889.6998	1174.2453
TCGA-BR-8484-01	2641.377	4840.728	7482.105
TCGA-BR-8485-01	2320.698	3693.144	6013.841
TCGA-BR-8487-01	1168.52	3405.419	4573.939
TCGA-BR-8588-01	3236.844	4801.069	8037.912
TCGA-BR-8589-01	759.2731	5261.6976	6020.9707
TCGA-BR-8590-01	3698.295	4470.093	8168.389
TCGA-BR-8591-01	1880.705	3620.565	5501.27
TCGA-BR-8592-01	3790.054	4222.659	8012.713
TCGA-BR-8676-01	570.9127	4153.3493	4724.262
TCGA-BR-8677-01	3592.09	4488.132	8080.222
TCGA-BR-8678-01	1070.463	1637.405	2707.868
TCGA-BR-8680-01	-398.58023	324.61871	-73.96151
TCGA-BR-8682-01	3125.511	3606.008	6731.519
TCGA-BR-8683-01	2624.324	3023.141	5647.465
TCGA-BR-8686-01	2945.81	5232.543	8178.353
TCGA-BR-8687-01	1418.805	1896.81	3315.615
TCGA-BR-8690-01	2645.929	4822.415	7468.343
TCGA-BR-A44T-01	2971.031	6196.845	9167.876
TCGA-BR-A44U-01	1652.924	1717.847	3370.772
