Tag	C1	C2	P.value
TTN	109	72	0.00717024306707641
MUC16	67	38	0.0100503256179938
CSMD3	56	30	0.0125990767623144
ARID1A	54	30	0.0236058347934073
FLG	50	23	0.00360391937682994
PCLO	46	22	0.00975625543116166
DNAH5	40	21	0.0347473871338334
OBSCN	44	19	0.00342845594753066
KMT2D	41	14	0.000619013555536654
AHNAK2	37	18	0.0268778294789541
FAT3	36	17	0.0244297794410425
PLEC	34	12	0.00250384706219336
SACS	34	15	0.0198295942942288
USH2A	35	17	0.0343189906475626
PIK3CA	40	14	0.000974614078319387
LAMA1	35	13	0.00309388829564648
NEB	36	4	3.11730731137754e-07
MDN1	32	12	0.00584321056741133
FAT2	31	12	0.008795946971747
RYR1	38	11	0.000190104990066557
ABCA13	28	12	0.0281352838489869
MUC5B	28	11	0.0165186802533695
MUC17	31	10	0.00245122071430794
NBEA	29	13	0.032039909822007
RELN	28	13	0.0455335586087396
ABCA12	28	12	0.0281352838489869
CMYA5	30	11	0.00730799894130009
FCGBP	27	8	0.00373525755040118
KMT2B	24	8	0.00947930352018026
LRP2	27	12	0.040506591997899
RIMS2	31	8	0.000524250389287304
SSPO	28	9	0.00477629021047292
SPEN	22	8	0.0220974325800432
PTPRT	30	9	0.00189492754958658
FBN1	26	10	0.0208960120429311
MYCBP2	25	9	0.0176028888186582
CDH23	27	12	0.040506591997899
CELSR3	23	9	0.0269540587306384
FAT1	21	8	0.0331641664600676
LAMA2	22	9	0.0396744141335035
MYO15A	28	7	0.00104223402807586
ATM	24	8	0.00947930352018026
BSN	22	8	0.0220974325800432
PCDH10	26	11	0.0356459893325108
PCDH17	29	6	0.0002474678357818
PEG3	27	11	0.0244138314173014
TRRAP	26	11	0.0356459893325108
APC	25	10	0.0309787937370547
DNAH7	23	9	0.0269540587306384
DNAH8	24	10	0.045329746949721
VCAN	21	6	0.00852043611955993
ZBTB20	25	9	0.0176028888186582
CACNA1E	29	6	0.0002474678357818
NIPBL	27	10	0.0139210070296598
DNAH10	23	5	0.00131372532436095
GRM1	22	8	0.0220974325800432
MAP2	25	10	0.0309787937370547
RANBP2	23	6	0.00326467458362352
RNF43	24	8	0.00947930352018026
TECTA	24	10	0.045329746949721
