Tag	dynamicColors	mergedColors
TIGAR	salmon	cyan
RNF44	black	cyan
RPL23A	grey	grey
CALB2	grey	grey
MFSD3	midnightblue	midnightblue
PIGV	yellow	cyan
ZNF708	blue	cyan
MOGAT2	grey	grey
PFN2	turquoise	turquoise
RMND5A	green	cyan
RAD23A	black	cyan
SIN3B	yellow	cyan
CTSA	greenyellow	greenyellow
IL32	red	magenta
PTPN4	blue	cyan
NUCB2	grey	grey
TMEM143	cyan	cyan
DACH1	grey	grey
SERTAD2	blue	cyan
ST3GAL6	purple	turquoise
PKP2	brown	brown
SLC45A4	yellow	cyan
MTRF1	blue	cyan
ESM1	grey	grey
RWDD2A	blue	cyan
SCFD2	yellow	cyan
YWHAB	greenyellow	greenyellow
TOMM40	brown	brown
ADTRP	grey	grey
NDUFAF2	grey	grey
SEPSECS	blue	cyan
MAP9	turquoise	turquoise
APIP	green	cyan
FOXP1	turquoise	turquoise
PLCE1	blue	cyan
SETDB2	blue	cyan
DESI2	green	cyan
COX17	grey	grey
NLGN2	turquoise	turquoise
PKMYT1	brown	brown
FAM89B	pink	turquoise
PHF1	turquoise	turquoise
DIPK1A	turquoise	turquoise
PSMB6	brown	brown
GUCY1A1	turquoise	turquoise
PRKG2	grey	grey
FBXO45	green	cyan
TMEM52	grey	grey
CHN2	grey	grey
GCNT4	grey	grey
KLK8	grey	grey
MTF2	tan	tan
RBM15B	black	cyan
MT1A	grey	grey
ATP2A1	grey	grey
NCAPG	brown	brown
NOP2	brown	brown
ZNF880	turquoise	turquoise
MELTF	grey	grey
PTPRB	purple	turquoise
DGKD	yellow	cyan
UPP1	grey	grey
TRABD2B	turquoise	turquoise
AMN	grey	grey
KLK10	grey	grey
KDM5B	blue	cyan
FHOD1	black	cyan
PTPRH	grey	grey
PCMTD1	blue	cyan
MAP2K7	black	cyan
SMIM32	grey	grey
AP5S1	greenyellow	greenyellow
GRIP1	grey	grey
SLC2A1	green	cyan
MUSK	turquoise	turquoise
SPINK1	grey	grey
GLYCTK	grey	grey
MASP2	blue	cyan
RPRM	turquoise	turquoise
TNNT1	grey	grey
H6PD	yellow	cyan
RCOR1	green	cyan
GRAMD1C	blue	cyan
GLI3	turquoise	turquoise
KCNE4	turquoise	turquoise
HOXC13	grey	grey
FAM217B	blue	cyan
FCGR2B	red	magenta
NME1-NME2	brown	brown
PHLDA2	grey	grey
CBL	blue	cyan
CLN6	brown	brown
EFS	turquoise	turquoise
ERRFI1	blue	cyan
EVPL	grey	grey
IL27RA	red	magenta
OTUD1	blue	cyan
PDCD6	brown	brown
EPB41L2	pink	turquoise
EPHA3	turquoise	turquoise
LDHA	brown	brown
XCL1	grey	grey
DNMT3A	greenyellow	greenyellow
PDE5A	turquoise	turquoise
ZNF304	blue	cyan
ATP6AP2	green	cyan
ATP23	brown	brown
PLIN4	turquoise	turquoise
PLP2	grey	grey
TREH	grey	grey
NOP16	brown	brown
GNA12	yellow	cyan
HEY2	pink	turquoise
ACOX2	turquoise	turquoise
INTS13	green	cyan
PROSER2	grey	grey
