Tag	geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId	DB
1	hsa04510	Focal adhesion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04510+10000+10398+1277+1278+1282+1284+1286+1287+1288+1291+1292+1293+1311+22801+2316+2318+2321+2324+2335+23396+25759+3082+3371+3479+3611+3672+3678+3679+3680+3690+3693+3725+3791+3908+3910+3912+3913+3915+4638+4659+4660+5155+5156+5159+5228+54776+55742+5602+56034+60+63923+7057+7058+7059+7060+7094+7148+7414+7423+7424+7450+7791+80310+8516+857+858+87+894	190	68	23.6342300054161	2.87718279734169	0	0	10000;10398;1277;1278;1282;1284;1286;1287;1288;1291;1292;1293;1311;22801;2316;2318;2321;2324;2335;23396;25759;3082;3371;3479;3611;3672;3678;3679;3680;3690;3693;3725;3791;3908;3910;3912;3913;3915;4638;4659;4660;5155;5156;5159;5228;54776;55742;5602;56034;60;63923;7057;7058;7059;7060;7094;7148;7414;7423;7424;7450;7791;80310;8516;857;858;87;894	PPP1R12A;ZYX;COL6A2;LAMC1;PGF;LAMA4;MYL9;IGF1;LAMB2;COL6A3;CCND2;FLT4;AKT3;ACTN1;THBS4;FN1;VWF;TLN1;COL4A5;FLNC;ITGA7;COL6A1;COL4A4;VEGFB;PPP1R12C;PDGFRA;COL4A1;ILK;KDR;PDGFRB;PDGFD;MYLK;HGF;COMP;PDGFB;THBS1;LAMA2;TNC;PIP5K1C;JUN;FLT1;COL1A2;PDGFC;COL4A6;SHC2;ITGA9;CAV2;LAMB1;ITGA5;ITGB5;MAPK10;PARVA;CAV1;VCL;THBS3;ITGA8;PPP1R12B;COL1A1;ITGA1;VEGFC;TNXB;COL4A2;FLNA;ITGA11;ACTB;ITGB3;THBS2;TNN	pathway_KEGG
2	hsa04512	ECM-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04512+1277+1278+1282+1284+1286+1287+1288+1291+1292+1293+1311+22801+2335+3339+3371+3672+3678+3679+3680+3690+3693+3908+3910+3912+3913+3915+63923+7057+7058+7059+7060+7148+7450+8516+948+9900	81	36	10.0756454233616	3.57297210127399	5.90305582193196e-13	8.82506845378828e-11	1277;1278;1282;1284;1286;1287;1288;1291;1292;1293;1311;22801;2335;3339;3371;3672;3678;3679;3680;3690;3693;3908;3910;3912;3913;3915;63923;7057;7058;7059;7060;7148;7450;8516;948;9900	COL6A2;LAMC1;LAMA4;LAMB2;COL6A3;THBS4;FN1;VWF;COL4A5;ITGA7;COL6A1;COL4A4;COL4A1;CD36;COMP;THBS1;LAMA2;TNC;COL1A2;COL4A6;HSPG2;ITGA9;LAMB1;ITGA5;ITGB5;THBS3;ITGA8;COL1A1;ITGA1;SV2A;TNXB;COL4A2;ITGA11;ITGB3;THBS2;TNN	pathway_KEGG
3	hsa05414	Dilated cardiomyopathy (DCM)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05414+111+115+1674+1756+196883+22801+27092+3479+3672+3678+3679+3680+3690+3693+3908+5350+5566+5567+60+6262+6442+6443+6444+6546+70+7040+7042+7043+7168+7169+7171+775+783+784+8516	83	35	10.3244267918397	3.3900187105461	8.0869755336721e-12	8.06001894855986e-10	111;115;1674;1756;196883;22801;27092;3479;3672;3678;3679;3680;3690;3693;3908;5350;5566;5567;60;6262;6442;6443;6444;6546;70;7040;7042;7043;7168;7169;7171;775;783;784;8516	PRKACB;SGCB;TPM4;ADCY4;TPM1;CACNB2;IGF1;ACTC1;DES;ADCY5;CACNB3;PRKACA;ITGA7;TGFB1;DMD;LAMA2;SLC8A1;SGCD;RYR2;TGFB2;SGCA;ITGA9;ITGA5;ITGB5;TGFB3;ITGA8;CACNA1C;ITGA1;PLN;TPM2;ITGA11;CACNG4;ACTB;ITGB3;ADCY9	pathway_KEGG
4	hsa05205	Proteoglycans in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05205+10000+117581+1634+2247+2260+22808+2316+2318+2335+2535+2549+2719+2817+287+3082+3316+3339+3479+3481+3678+3690+3693+3708+3791+4060+4313+4478+4659+4660+5328+54776+5566+5567+5600+5727+5962+60+6237+6383+6608+7040+7042+7057+7078+7291+7472+7474+7482+818+8321+8322+8324+8325+857+858	183	55	22.7634952157429	2.41614916684511	1.00838670746839e-10	6.17019839666e-09	10000;117581;1634;2247;2260;22808;2316;2318;2335;2535;2549;2719;2817;287;3082;3316;3339;3479;3481;3678;3690;3693;3708;3791;4060;4313;4478;4659;4660;5328;54776;5566;5567;5600;5727;5962;60;6237;6383;6608;7040;7042;7057;7078;7291;7472;7474;7482;818;8321;8322;8324;8325;857;858	PRKACB;PPP1R12A;ITPR1;MMP2;WNT2B;IGF1;PTCH1;SDC2;GPC1;FGF2;HSPB2;AKT3;FN1;WNT2;FZD8;IGF2;PRKACA;FLNC;TGFB1;PPP1R12C;MRAS;KDR;RDX;LUM;MSN;HGF;MAPK11;THBS1;TIMP3;SMO;FGFR1;TGFB2;FZD1;GAB1;ANK2;FZD2;CAMK2G;HSPG2;CAV2;RRAS;ITGA5;DCN;ITGB5;CAV1;FZD4;WNT5A;PPP1R12B;GPC3;PLAU;FLNA;TWIST1;ACTB;ITGB3;TWIST2;FZD7	pathway_KEGG
5	hsa05410	Hypertrophic cardiomyopathy (HCM)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05410+1674+1756+22801+27092+3479+3569+3672+3678+3679+3680+3690+3693+3908+51422+5563+60+6262+6442+6443+6444+6546+70+7040+7042+7043+7168+7169+7171+775+783+784+8516	77	32	9.57808268640549	3.34096092586659	1.03180575194983e-10	6.17019839666e-09	1674;1756;22801;27092;3479;3569;3672;3678;3679;3680;3690;3693;3908;51422;5563;60;6262;6442;6443;6444;6546;70;7040;7042;7043;7168;7169;7171;775;783;784;8516	SGCB;TPM4;TPM1;CACNB2;IGF1;ACTC1;DES;CACNB3;ITGA7;TGFB1;DMD;LAMA2;SLC8A1;SGCD;RYR2;TGFB2;PRKAG2;PRKAA2;SGCA;ITGA9;ITGA5;ITGB5;TGFB3;ITGA8;CACNA1C;ITGA1;TPM2;ITGA11;CACNG4;IL6;ACTB;ITGB3	pathway_KEGG
6	hsa04151	PI3K-Akt signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04151+10000+10681+1277+1278+1282+1284+1286+1287+1288+1291+1292+1293+1311+1902+1945+1978+2149+2247+2252+2255+2260+22801+2321+2324+2335+2690+2788+2791+284+285+3082+3371+3479+3481+3563+3569+3667+3672+3678+3679+3680+3690+3693+3791+3815+3908+3910+3912+3913+3915+4803+4804+4846+4915+5155+5156+5159+5228+5523+5526+5563+56034+59345+63923+64764+7010+7057+7058+7059+7060+7148+7423+7424+7450+80310+8516+894+9180+94235+9586+9863	333	81	41.4220978515978	1.9554779743459	5.22425325222287e-10	2.60341953735773e-08	10000;10681;1277;1278;1282;1284;1286;1287;1288;1291;1292;1293;1311;1902;1945;1978;2149;2247;2252;2255;2260;22801;2321;2324;2335;2690;2788;2791;284;285;3082;3371;3479;3481;3563;3569;3667;3672;3678;3679;3680;3690;3693;3791;3815;3908;3910;3912;3913;3915;4803;4804;4846;4915;5155;5156;5159;5228;5523;5526;5563;56034;59345;63923;64764;7010;7057;7058;7059;7060;7148;7423;7424;7450;80310;8516;894;9180;94235;9586;9863	FGF10;LPAR1;COL6A2;LAMC1;PGF;LAMA4;IGF1;LAMB2;COL6A3;ANGPT2;ANGPT1;FGF2;CCND2;FLT4;AKT3;THBS4;FN1;IGF2;KIT;VWF;EIF4EBP1;NGF;NOS3;IL3RA;COL4A5;ITGA7;COL6A1;COL4A4;OSMR;VEGFB;PPP2R3A;FGF7;PDGFRA;COL4A1;GNB5;KDR;PDGFRB;PDGFD;F2R;HGF;COMP;PDGFB;THBS1;LAMA2;TNC;CREB3L2;FLT1;CREB5;FGFR1;MAGI2;PPP2R5B;COL1A2;PDGFC;GNG7;NTRK2;NGFR;PRKAA2;COL4A6;IRS1;ITGA9;LAMB1;ITGA5;ITGB5;THBS3;ITGA8;COL1A1;ITGA1;GNG8;TEK;VEGFC;GHR;EFNA4;GNG11;TNXB;COL4A2;ITGA11;GNB4;IL6;ITGB3;THBS2;TNN	pathway_KEGG
7	hsa04022	cGMP-PKG signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04022+10000+10335+10398+111+115+134+146+154+185+1909+1910+196883+2770+2771+291+2977+3667+3708+3764+3778+3779+4205+4208+4209+4638+4659+477+4776+482+4846+4881+4882+493+5138+5139+5350+5592+5997+624+64764+6546+6722+7225+775+8654+9586	147	46	18.2854305831378	2.51566403048883	8.49968651017718e-10	3.63058038077568e-08	10000;10335;10398;111;115;134;146;154;185;1909;1910;196883;2770;2771;291;2977;3667;3708;3764;3778;3779;4205;4208;4209;4638;4659;477;4776;482;4846;4881;4882;493;5138;5139;5350;5592;5997;624;64764;6546;6722;7225;775;8654;9586	PDE5A;PPP1R12A;ITPR1;ATP2B4;GNAI1;ATP1A2;NFATC4;SRF;ADCY4;MYL9;KCNMB1;SLC25A4;NPR2;PDE3A;KCNJ8;ADORA1;MRVI1;ADCY5;ADRB2;ATP1B2;EDNRB;AKT3;NOS3;BDKRB2;ADRA1D;MYLK;GUCY1A2;NPR1;KCNMA1;SLC8A1;CREB3L2;TRPC6;CREB5;IRS1;PRKG1;AGTR1;RGS2;MEF2D;EDNRA;MEF2C;MEF2A;PDE2A;CACNA1C;GNAI2;PLN;ADCY9	pathway_KEGG
8	hsa04270	Vascular smooth muscle contraction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04270+10203+10266+10267+10268+10335+10398+111+115+146+185+1909+196883+2977+3708+3778+3779+4629+4638+4659+4660+4881+4882+5322+54776+552+5566+5567+5592+5739+59+72+775+800+8605+94274	98	35	12.1902870554252	2.8711382956666	1.90825222290414e-09	6.97593472616849e-08	10203;10266;10267;10268;10335;10398;111;115;146;185;1909;196883;2977;3708;3778;3779;4629;4638;4659;4660;4881;4882;5322;54776;552;5566;5567;5592;5739;59;72;775;800;8605;94274	PRKACB;PPP1R12A;ITPR1;PLA2G4C;ADCY4;MYL9;KCNMB1;NPR2;PPP1R14A;MRVI1;ACTA2;MYH11;ADCY5;AVPR1A;PRKACA;PPP1R12C;ADRA1D;RAMP1;CALCRL;MYLK;PLA2G5;GUCY1A2;ACTG2;NPR1;KCNMA1;PRKG1;RAMP3;AGTR1;EDNRA;CALD1;PPP1R12B;CACNA1C;PTGIR;RAMP2;ADCY9	pathway_KEGG
9	hsa05200	Pathways in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05200+10000+10681+111+115+1282+1284+1286+1287+1288+1613+185+1902+1909+1910+196883+2034+2149+2247+2252+2255+2260+2324+2335+23462+23493+25+2535+26508+2735+2736+2737+2770+2771+2788+2791+28514+2946+3082+3479+3481+3563+3569+3572+367+3725+374654+3815+3908+3910+3912+3913+3915+4258+4286+4292+4313+4616+4854+4855+51176+5155+5156+5159+5228+5292+54567+5566+5567+5602+5727+5731+5732+5733+5915+59345+5979+623+624+6387+64399+6608+6777+7040+7042+7043+7046+7048+7423+7424+7472+7474+7482+7704+818+8321+8322+8324+8325+83439+862+8643+894+9002+94235+9915	487	105	60.5782632244087	1.73329498752768	2.09977968346209e-09	6.97593472616849e-08	10000;10681;111;115;1282;1284;1286;1287;1288;1613;185;1902;1909;1910;196883;2034;2149;2247;2252;2255;2260;2324;2335;23462;23493;25;2535;26508;2735;2736;2737;2770;2771;2788;2791;28514;2946;3082;3479;3481;3563;3569;3572;367;3725;374654;3815;3908;3910;3912;3913;3915;4258;4286;4292;4313;4616;4854;4855;51176;5155;5156;5159;5228;5292;54567;5566;5567;5602;5727;5731;5732;5733;5915;59345;5979;623;624;6387;64399;6608;6777;7040;7042;7043;7046;7048;7423;7424;7472;7474;7482;7704;818;8321;8322;8324;8325;83439;862;8643;894;9002;94235;9915	GLI3;HEY2;PRKACB;FGF10;TCF7L1;F2RL3;GNAI1;RARB;LPAR1;LAMC1;ADCY4;PTCH2;DAPK3;MLH1;TGFBR1;MMP2;PGF;LAMA4;GSTM2;WNT2B;IGF1;LAMB2;PTCH1;GLI2;FGF2;ADCY5;ZBTB16;CCND2;EDNRB;FLT4;AKT3;ARNT2;FN1;WNT2;FZD8;IGF2;KIT;PTGER2;BDKRB1;PRKACA;ABL1;IL3RA;COL4A5;TGFB1;COL4A4;NOTCH3;BDKRB2;MITF;VEGFB;FGF7;PDGFRA;COL4A1;GNB5;KIF7;PDGFRB;F2R;PTGER3;PTGER1;HGF;STAT5B;PDGFB;DLL1;LAMA2;SMO;JUN;RUNX1T1;GLI1;HHIP;HEYL;FGFR1;TGFB2;FZD1;GNG7;TGFBR2;NOTCH4;FZD2;COL4A6;CAMK2G;AGTR1;AR;RET;LAMB1;GADD45B;MAPK10;FZD4;MGST2;PIM1;TGFB3;EDNRA;DLL4;WNT5A;EPAS1;GNAI2;LEF1;GNG8;VEGFC;CXCL12;IL6ST;GNG11;COL4A2;HEY1;GNB4;IL6;ADCY9;FZD7	pathway_KEGG
10	hsa04360	Axon guidance	http://www.kegg.jp/kegg-bin/show_pathway?hsa04360+10371+10512+1073+1808+1945+1949+2042+2043+2045+219699+2242+22885+25+2770+2771+3611+3897+4776+5365+54910+55740+5727+57556+59277+6091+6237+6387+64101+658+6586+6608+7220+7223+7225+7474+80031+818+84552+84628+8482+8633+8829+9037+91584+91653+9353+9423+9723	165	48	20.5244628994403	2.33867264810661	5.48959699919749e-09	1.64138950276005e-07	10371;10512;1073;1808;1945;1949;2042;2043;2045;219699;2242;22885;25;2770;2771;3611;3897;4776;5365;54910;55740;5727;57556;59277;6091;6237;6387;64101;658;6586;6608;7220;7223;7225;7474;80031;818;84552;84628;8482;8633;8829;9037;91584;91653;9353;9423;9723	EPHA3;CFL2;EPHA7;GNAI1;SEMA3A;NFATC4;NRP1;PLXNA4;NTNG2;EFNB3;L1CAM;PTCH1;EPHA4;SEMA4C;FES;NTN1;ABLIM3;NTN4;SEMA3E;SEMA6D;ABL1;SEMA6A;ILK;PLXNB3;TRPC4;SMO;PARD6G;SLIT2;TRPC6;SEMA3C;DPYSL2;UNC5C;CAMK2G;RRAS;SEMA7A;WNT5A;TRPC1;BMPR1B;GNAI2;BOC;UNC5B;SEMA5A;CXCL12;EFNA4;SLIT3;ROBO1;LRRC4;ENAH	pathway_KEGG
