Tag	p.value	HR	Low 95%CI	High 95%CI
PFN2	0.053	1.143	0.998	1.31
ST3GAL6	0.109	1.266	0.948	1.691
MAP9	0.227	1.143	0.92	1.421
FOXP1	0.577	0.925	0.702	1.218
NLGN2	0.43	1.084	0.887	1.325
FAM89B	0.519	1.116	0.799	1.558
PHF1	0.311	1.192	0.848	1.677
DIPK1A	0.298	1.161	0.877	1.537
GUCY1A1	0.479	1.053	0.913	1.214
ZNF880	0.794	1.025	0.851	1.234
PTPRB	0.364	1.126	0.871	1.457
TRABD2B	0.291	1.11	0.914	1.347
MUSK	0.283	1.147	0.893	1.474
RPRM	0.847	1.02	0.83	1.255
GLI3	0.193	1.135	0.938	1.374
KCNE4	0.089	1.163	0.977	1.385
EFS	0.164	1.142	0.947	1.378
EPB41L2	0.255	1.131	0.915	1.399
EPHA3	0.897	1.01	0.864	1.181
PDE5A	0.362	1.096	0.9	1.334
PLIN4	0.121	1.078	0.98	1.186
HEY2	0.468	1.094	0.859	1.393
ACOX2	0.082	1.176	0.98	1.411
NTM	0.164	1.154	0.943	1.413
ASB2	0.433	1.054	0.924	1.204
MATN3	0.001	1.285	1.112	1.484
RCN3	0.917	1.01	0.845	1.206
RNF24	0.746	0.958	0.738	1.243
DIPK1B	0.215	1.127	0.933	1.361
PCBP3	0.704	1.049	0.818	1.346
GALNT16	0.251	1.136	0.914	1.412
NLGN3	0.616	1.07	0.821	1.396
ZNF850	0.612	1.066	0.834	1.362
PRKACB	0.494	1.071	0.88	1.302
HOOK3	0.544	1.082	0.84	1.394
SLC18A2	0.118	1.188	0.957	1.476
DENND5A	0.14	1.179	0.947	1.469
ISLR2	0.124	1.216	0.948	1.561
PDE1C	0.53	1.087	0.838	1.409
ABCA1	0.067	1.226	0.986	1.525
POU6F1	0.545	1.092	0.821	1.451
CSPG4	0.355	1.075	0.922	1.253
RTN2	0.27	1.145	0.9	1.458
NR2F1	0.108	1.136	0.973	1.326
OSBPL5	0.785	1.033	0.82	1.301
CDH6	0.033	1.369	1.025	1.828
ZNF425	0.874	1.032	0.702	1.517
SGCB	0.414	1.114	0.86	1.444
ERO1B	0.85	1.02	0.828	1.257
RBM43	0.303	1.18	0.861	1.616
TTLL1	0.653	1.069	0.799	1.432
HS3ST3A1	0.956	0.994	0.789	1.251
F2RL2	0.982	1.002	0.854	1.176
FGF10	0.199	1.107	0.948	1.291
RASD2	0.637	1.047	0.865	1.268
PRRT2	0.519	1.11	0.807	1.527
LRIG1	0.734	1.034	0.852	1.254
TMOD1	0.195	1.104	0.951	1.282
FXYD6	0.403	1.072	0.911	1.26
DPYSL3	0.187	1.084	0.962	1.222
APBA2	0.964	0.994	0.763	1.296
ANTXR2	0.04	1.196	1.008	1.419
PBX1	0.88	1.015	0.837	1.23
ADAMTSL4	0.44	1.076	0.894	1.295
SORBS2	0.939	0.993	0.839	1.176
PRPH2	0.231	1.242	0.871	1.771
CDO1	0.108	1.168	0.966	1.413
MARVELD1	0.06	1.214	0.992	1.486
NREP	0.049	1.247	1.001	1.553
LSAMP	0.846	1.019	0.844	1.23
CDON	0.513	1.067	0.878	1.297
LRRC32	0.088	1.163	0.978	1.383
CALHM2	0.239	1.151	0.911	1.456
INKA1	0.542	1.092	0.822	1.451
BMP8A	0.531	1.062	0.879	1.284
PRX	0.686	1.074	0.76	1.516
POMC	0.571	1.056	0.875	1.275
ZNF532	0.247	1.129	0.919	1.387
CDH11	0.157	1.135	0.952	1.353
HCFC2	0.202	1.219	0.899	1.653
CMTM3	0.086	1.19	0.976	1.45
NKX3__2	1	1	0.863	1.159
ZNF528	0.16	1.157	0.944	1.417
CTHRC1	0.068	1.138	0.991	1.306
TENT5B	0.729	1.023	0.899	1.165
CFL2	0.203	1.104	0.948	1.284
NRIP3	0.562	1.078	0.837	1.387
ZFHX3	0.476	1.089	0.862	1.376
DACT1	0.275	1.097	0.929	1.296
ECM1	0.815	1.018	0.879	1.178
NRN1	0.712	0.967	0.812	1.153
MMP11	0.078	1.104	0.989	1.233
NFASC	0.435	1.064	0.91	1.245
P3H3	0.356	1.091	0.907	1.313
ZFP28	0.356	1.135	0.868	1.483
MEIS3	0.349	1.108	0.894	1.374
ZNF662	0.168	1.165	0.938	1.447
CRTAP	0.209	1.203	0.902	1.605
LRP1	0.065	1.194	0.989	1.441
DDR2	0.23	1.094	0.945	1.268
CYS1	0.153	1.097	0.966	1.246
ASAP3	0.459	1.082	0.879	1.332
ATP8B2	0.223	1.122	0.933	1.349
FBXL22	0.403	1.072	0.911	1.262
KCNA5	0.129	1.165	0.957	1.417
PPP1R12A	0.611	1.07	0.823	1.392
CLMP	0.336	1.067	0.935	1.218
EPHA7	0.326	1.069	0.936	1.221
GLT8D2	0.124	1.166	0.959	1.417
IRF2BPL	0.817	1.032	0.788	1.353
RRAGD	0.077	1.21	0.979	1.496
C8orf88	0.09	1.12	0.982	1.277
ATP10A	0.892	1.016	0.812	1.271
COL8A2	0.253	1.108	0.929	1.32
PTPRM	0.144	1.176	0.946	1.46
NPR3	0.001	1.39	1.147	1.684
IFITM2	0.8	0.976	0.812	1.174
TCF7L1	0.094	1.167	0.974	1.399
KRBA1	0.569	1.07	0.848	1.35
ITIH5	0.239	1.107	0.934	1.312
ADGRL2	0.604	1.054	0.865	1.284
PCDHB14	0.809	1.028	0.821	1.288
PHC2	0.812	1.044	0.734	1.485
F2RL3	0.167	1.137	0.948	1.364
MYOC	0.286	1.074	0.942	1.226
